projectID,type,title,organisationID,applicantName,applicationDate,applicationPrefix,applicationIdentifier,applicationKind,epoAppUrl,priorityDate,patentType,awardDate,awardPrefix,awardIdentifier,awardKind,epoPubUrl,patentFamilyIdentifier
641518,PATENT,Method for the acquisition and processing of geographical information of a path,996169922.0,GEONUMERICS SL,2013-07-22,US,201314417435,A,https://worldwide.espacenet.com/patent/search?q=US201314417435A,2012-07-26,BACKGROUND,2015-07-09,US,2015192928,A1,https://worldwide.espacenet.com/patent/search?q=US2015192928A1,47528706.0
635734,PATENT,KETOREDUCTASES,986597283.0,C-LECTA GMBH,2017-07-14,EP,2018069058,W,https://worldwide.espacenet.com/patent/search?q=EP2018069058W,,BACKGROUND,2019-01-17,WO,2019012095,A1,https://worldwide.espacenet.com/patent/search?q=WO2019012095A1,62837946.0
653203,PATENT,Mecanisme de pivotement de dossier de siege,999420877.0,PSA AUTOMOBILES SA,2015-04-08,FR,1553008,A,https://worldwide.espacenet.com/patent/search?q=FR1553008A,,BACKGROUND,2018-10-12,FR,3034721,B1,https://worldwide.espacenet.com/patent/search?q=FR3034721B1,53514331.0
653203,PATENT,Ouvrant en élytre vers l'arrière,999420877.0,PSA AUTOMOBILES SA,2016-06-26,FR,1651536,A,https://worldwide.espacenet.com/patent/search?q=FR1651536A,,BACKGROUND,2018-02-23,FR,3048202,B1,https://worldwide.espacenet.com/patent/search?q=FR3048202B1,56117860.0
653203,PATENT,Système de fixation et de réglage du dossier par crémaillère,999420877.0,PSA AUTOMOBILES SA,2015-05-21,FR,1554570,A,https://worldwide.espacenet.com/patent/search?q=FR1554570A,,BACKGROUND,2017-06-02,FR,3036365,B1,https://worldwide.espacenet.com/patent/search?q=FR3036365B1,53758419.0
653203,PATENT,Suspension Hydropneumatique sur véhicule inclinable et dispositif de pilotage de roulis associé,999420877.0,PSA AUTOMOBILES SA,2015-06-15,FR,1555448,A,https://worldwide.espacenet.com/patent/search?q=FR1555448A,,BACKGROUND,2017-07-07,FR,3037279,B1,https://worldwide.espacenet.com/patent/search?q=FR3037279B1,54291421.0
653203,PATENT,Gestion du roulis pour véhicules pendulaires,999420877.0,PSA AUTOMOBILES SA,2016-01-11,FR,1650180,A,https://worldwide.espacenet.com/patent/search?q=FR1650180A,,BACKGROUND,2018-01-26,FR,3046571,B1,https://worldwide.espacenet.com/patent/search?q=FR3046571B1,55650523.0
653203,PATENT,Montage de roue AR d'un bras oscillant sur un véhicule à 2 roues AR,999420877.0,PSA AUTOMOBILES SA,2015-07-02,FR,1556240,A,https://worldwide.espacenet.com/patent/search?q=FR1556240A,,BACKGROUND,2017-07-21,FR,3038291,B1,https://worldwide.espacenet.com/patent/search?q=FR3038291B1,54066089.0
653203,PATENT,Groupe  hydraulique simplifié - Seringue motorisée,999420877.0,PSA AUTOMOBILES SA,2016-03-23,FR,1652467,A,https://worldwide.espacenet.com/patent/search?q=FR1652467A,,BACKGROUND,2019-04-26,FR,3049230,B1,https://worldwide.espacenet.com/patent/search?q=FR3049230B1,56119553.0
653203,PATENT,Contrôle semi-actif des véhicules librement inclinables (II),999420877.0,PSA AUTOMOBILES SA,2016-10-29,FR,1660502,A,https://worldwide.espacenet.com/patent/search?q=FR1660502A,,BACKGROUND,2018-11-30,FR,3058093,B1,https://worldwide.espacenet.com/patent/search?q=FR3058093B1,57861045.0
653203,PATENT,Architecture et Modularité d'un concept de mobilité urbaine,999420877.0,PSA AUTOMOBILES SA,2015-10-02,FR,1559368,A,https://worldwide.espacenet.com/patent/search?q=FR1559368A,,BACKGROUND,2019-08-16,FR,3041925,B1,https://worldwide.espacenet.com/patent/search?q=FR3041925B1,54608853.0
636170,PATENT,Dispositif de diffusion thermique,999886089.0,INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE LYON,2017-01-06,FR,1750129,A,https://worldwide.espacenet.com/patent/search?q=FR1750129A,2017-01-06,FOREGROUND,2018-07-13,FR,3061745,A1,https://worldwide.espacenet.com/patent/search?q=FR3061745A1,58547646.0
637108,PATENT,"BUILDING ENVELOPE SURFACE ELEMENT, COMPOSITE WINDOW, AND BUILDING FAÇADE SYSTEM",999868726.0,FRIEDRICH-SCHILLER-UNIVERSITAT JENA,2015-08-25,DE,2015000421,W,https://worldwide.espacenet.com/patent/search?q=DE2015000421W,2014-08-29,BACKGROUND,2016-03-03,WO,2016029897,A1,https://worldwide.espacenet.com/patent/search?q=WO2016029897A1,54251900.0
637108,PATENT,"Gebäudehüllenflächenelement, Verbundfenster und Gebäudefassadensystem",999868726.0,FRIEDRICH-SCHILLER-UNIVERSITAT JENA,2014-04-02,DE,102014002218,A,https://worldwide.espacenet.com/patent/search?q=DE102014002218A,,BACKGROUND,2015-08-20,DE,102014002218,A1,https://worldwide.espacenet.com/patent/search?q=DE102014002218A1,53758654.0
637108,PATENT,"BUILDING ENVELOPE SURFACE ELEMENT, COMPOSITE WINDOW, AND BUILDING FAÇADE SYSTEM",946583813.0,EURA INNOVATION GMBH,2015-08-25,DE,2015000421,W,https://worldwide.espacenet.com/patent/search?q=DE2015000421W,2014-08-29,BACKGROUND,2016-03-03,WO,2016029897,A1,https://worldwide.espacenet.com/patent/search?q=WO2016029897A1,54251900.0
